from;to;weight;relationship;year beginning;year end
abfo;jase;3;2;1968;1969
abfo;ropo;3;2;1968;1969
abfo;shta;3;2;1968;1969
abfo;wofr;3;5;1967;1969
abfo;CD;99;99;1969;1969
afbu;chma;3;5;2007;2015
alro;MF;3;2;1968;99
alsp;TS;99;99;99;99
BB;MF;2;1;99;99
bebe;dasm;2;2;99;99
becr;chma;1;1;1969;1969
brda;gahi;2;3;1969;1969
brle;ropo;1;2;1967;99
chju;rowi;3;4;1955;1993
chlu;chma;3;4;1956;99
chlu;lest;3;4;1956;99
chma;chju;1;4;1955;1993
chma;chwa;3;2;99;99
chma;robe;2;2;99;99
chma;leva;1;2;1968;99
chma;dosh;3;3;1960;1969
chma;gahi;2;3;1969;1969
chma;kama;3;3;1942;99
chma;kama;3;4;1934;99
chma;rowi;3;5;1955;1958
chma;afbu;3;5;2007;2015
chma;dosh;3;6;1969;1969
chma;lela;1;6;1969;1969
chma;rola;1;6;1969;99
chma;CD;99;99;1969;1969
chma;MF;99;99;1960;99
chma;SR;99;99;99;99
chma;ivka;99;99;99;99
chma;lika;1;2;1969;1970
chma;lika;1;3;1970;1971
chma;vama;3;4;1968;99
chma;chlu;3;4;1956;99
chma;rohu;1;3;1970;1970
chma;pakr;2;2;1967;99
chma;dade;3;2;99;1969
chma;ST;1;99;99;99
chma;lyfr;3;2;1967;99
chma;stbo;99;99;99;99
chma;pakr;3;2;1967;99
chma;dewi;2;1;1968;1969
chma;stmc;1;1;1968;1968
chma;hebe;1;1;1968;1968
chma;teme;1;1;1968;1968
chma;rosm;3;2;1967;1969
chma;becr;1;3;1969;1969
chma;dasm;3;1;99;99
chma;pawa;3;2;1968;1969
chma;mabr;3;5;1967;1977
chma;vama;99;4;1968;99
chma;vibu;1;1;1969;99
chwa;leva;3;2;1968;99
chwa;lela;1;6;1969;1969
chwa;rola;1;6;1969;99
chwa;stpa;1;6;1969;99
chwa;CD;99;99;1969;1969
chwa;MF;99;99;99;99
chwa;SR;99;99;99;99
chwa;lika;1;2;1969;1970
chwa;lika;1;3;1970;1971
dade;TS;99;99;99;99
dade;SR;99;99;99;1969
dade;TS;99;99;99;99
dade;MF;99;99;99;1969
dade;chma;1;2;99;1969
dade;shco;3;5;99;99
dasm;MF;2;1;1968;99
dasm;bebe;2;2;99;99
dasm;chma;3;1;99;99
dasm;erde;3;2;99;99
dasm;frme;3;2;99;99
dewi;chma;2;1;1968;1969
dosh;gesp;3;2;1960;1969
dosh;SR;99;99;1960;1969
dosh;MF;2;99;99;99
erde;dasm;3;2;99;99
erde;rosm;3;2;99;99
frme;dasm;3;2;99;99
gahi;chma;2;2;99;99
gahi;brda;2;3;1969;1969
gahi;MF;99;99;1968;1969
hebe;chma;1;1;1968;1968
jase;abfo;3;2;1968;1969
jase;brle;2;2;1964;1969
jase;wofr;3;2;1968;1969
jase;shta;3;5;1964;1969
jase;CD;99;99;1969;1969
jase;ropo;3;2;1966;1969
jopu;sago;2;5;1965;1968
kama;chma;3;3;1942;99
kama;chma;3;4;1934;99
kama;cosc;2;5;1933;1934
kama;wima;2;5;1934;99
lela;frst;3;4;1954;1969
lela;rola;3;5;1954;1969
leva;chma;1;2;1968;99
leva;chwa;3;2;1968;99
leva;robe;3;5;1968;99
leva;lela;1;6;1969;1969
leva;rola;1;6;1969;99
leva;CD;99;99;1969;1969
leva;MF;99;99;1968;99
leva;CW;99;99;1971;2020
leva;lika;1;2;1969;1970
leva;lika;1;3;1970;1971
lika;chma;3;2;1969;1970
lika;MF;99;99;1969;1970
lika;SR;99;99;1969;1970
lika;chwa;1;2;1969;1970
lika;leva;1;2;1969;1970
lika;pakr;1;2;1969;1970
lika;suat;1;2;1969;1970
lika;chma;3;3;1970;1971
lika;chwa;1;3;1970;1971
lika;leva;1;3;1970;1971
lika;pakr;1;3;1970;1971
lika;suat;1;3;1970;1971
lyfr;chma;3;2;1967;99
lyfr;MF;3;99;99;99
lyfr;rohe;2;1;1969;1970
mabr;chma;3;5;1967;1977
mabr;MF;2;2;1967;1977
mabr;vama;3;4;1968;99
maka;waev;2;2;99;99
mara;FI;99;99;99;99
MF;TS;99;99;99;99
MF;BB;2;1;99;99
mifa;frsi;3;5;99;99
pakr;lela;1;6;1969;1969
pakr;rola;1;6;1969;99
pakr;CD;99;99;1969;1969
pakr;CW;99;99;1971;2020
pakr;lika;1;2;1969;1970
pakr;lika;1;3;1970;1971
pakr;chma;2;2;1967;99
pakr;MF;99;99;1967;99
pakr;SR;99;99;1967;99
pakr;99;99;99;99;99
pakr;chma;3;2;1967;99
papo;wiga;1;2;1967;99
papo;ropo;3;4;1969;99
papo;shta;3;4;1969;1969
pawa;chma;2;2;1968;1969
pawa;MF;99;99;1968;99
pawa;MF;2;2;1968;1970
pawa;chma;2;2;1968;1969
robe;gahi;1;3;1969;99
robe;leva;3;5;1968;99
robe;MF;99;99;99;99
rohe;lyfr;1;1;1969;1970
rohe;vihe;3;5;1948;1988
rohu;rohu;1;1;1970;1970
rola;frst;3;4;1954;1969
rola;lela;3;5;1954;1969
ropo;abfo;3;2;1968;1969
ropo;jase;3;2;1968;99
ropo;wofr;3;2;1960;1969
ropo;papo;3;4;1969;99
ropo;shta;3;5;1968;1969
ropo;CD;99;99;1967;1969
ropo;FI;99;99;99;99
ropo;shta;3;5;1966;1969
ropo;wich;1;1;1968;1969
ropo;jase;3;2;1966;1969
ropo;teme;1;1;1968;1968
rosm;chma;3;2;1967;1969
rosm;MF;2;99;1968;99
rosm;erde;3;2;99;99
rowi;chjr;3;4;1955;1993
rowi;chma;3;5;1955;1958
sago;MF;3;99;1968;99
sago;jopu;2;5;1965;1968
shco;dade;3;5;99;99
shta;abfo;3;2;1968;1969
shta;bapa;3;2;1965;1969
shta;brle;2;2;1967;1969
shta;dema;1;2;1967;1969
shta;mara;2;2;1960;1969
shta;mifa;2;2;1966;1969
shta;ribe;2;2;99;1969
shta;shwe;2;2;99;1969
shta;wofr;2;2;1968;1969
shta;papo;3;4;1969;1969
shta;jase;3;5;1964;1969
shta;phfo;3;5;1963;1969
shta;CD;99;99;1967;1969
shta;FI;99;99;99;1969
shta;ropo;3;5;1966;1969
shta;wich;1;1;1968;1969
shta;teme;1;1;1968;1968
shwe;FI;99;99;99;99
stbo;chma;99;99;99;99
stgr;dosh;3;6;1969;99
stmc;chma;1;1;1968;1968
stpa;wiga;2;2;99;1969
stpa;CD;99;99;99;1969
suat;lika;1;2;1969;1970
suat;lika;1;3;1970;1971
teme;chma;1;1;1968;1968
teme;shta;1;1;1968;1968
teme;ropo;1;1;1968;1968
vama;chma;3;4;1968;99
vama;mabr;3;4;1968;99
vama;mabr;3;4;1968;99
vama;chma;99;4;1968;99
vihe;rohe;3;5;1948;1988
vibu;chma;1;1;1969;99
waev;meka;2;2;99;99
wich;ropo;1;1;1968;1969
wich;shta;1;1;1968;1969
wiga;papo;1;2;1967;99
wiga;stpa;2;2;99;99
wiga;CD;99;99;1967;1969
wima;kama;2;5;1934;99
wima;99;99;99;99;99
wofr;jase;3;2;1968;1969
wofr;ropo;3;2;1960;1969
wofr;shta;2;2;1968;1969
wofr;abfo;3;5;1967;1969
wofr;CD;99;99;1969;1969
brda;chma;3;2;99;99
chma;brda;3;2;99;99
chma;romo;2;1;1967;99
romo;chma;1;1;1967;99
mama;chma;1;1;1967;99
chma;mama;1;1;1967;99
pafi;pakr;1;1;1969;1971
pakr;pafi;1;1;1969;1971
chma;PK;99;99;1967;99
